District,Station_name,State,Agency_name,Year,level,lat,long,is_filled
Ujjain,Badnagar kasba (part),Madhya Pradesh,Madhya Pradesh GW,2020,7.0,23.05167194,75.36471583,False
Ujjain,Badnagar kasba (part),Madhya Pradesh,Madhya Pradesh GW,2021,9.0,23.05167194,75.36471583,True
Ujjain,Badnagar kasba (part),Madhya Pradesh,Madhya Pradesh GW,2022,10.0,23.05167194,75.36471583,True
Ujjain,Chintaman Ganesh,Madhya Pradesh,Madhya Pradesh GW,2015,27.675,23.12911389,75.72336389,False
Ujjain,Chintaman Ganesh,Madhya Pradesh,Madhya Pradesh GW,2016,28.1,23.12911389,75.72336389,False
Ujjain,Chintaman Ganesh,Madhya Pradesh,Madhya Pradesh GW,2017,16.1,23.12911389,75.72336389,False
Ujjain,Chintaman Ganesh,Madhya Pradesh,Madhya Pradesh GW,2018,19.6,23.12911389,75.72336389,False
Ujjain,Chintaman Ganesh,Madhya Pradesh,Madhya Pradesh GW,2019,7.766666666666667,23.12911389,75.72336389,False
Ujjain,Chintaman Ganesh,Madhya Pradesh,Madhya Pradesh GW,2020,15.1125,23.12911389,75.72336389,False
Ujjain,Chintaman Ganesh,Madhya Pradesh,Madhya Pradesh GW,2021,13.701364824324326,23.12911389,75.72336389,False
Ujjain,Chintaman Ganesh,Madhya Pradesh,Madhya Pradesh GW,2022,21.474523174107137,23.12911389,75.72336389,False
Ujjain,Chintaman Ganesh,Madhya Pradesh,Madhya Pradesh GW,2023,18.591859637037036,23.12911389,75.72336389,False
Ujjain,Chintaman Ganesh,Madhya Pradesh,Madhya Pradesh GW,2024,7.8874899979999995,23.12911389,75.72336389,False
Ujjain,Molana,Madhya Pradesh,Madhya Pradesh GW,2015,11.55,23.08291972,75.42129944,False
Ujjain,Molana,Madhya Pradesh,Madhya Pradesh GW,2016,12.05,23.08291972,75.42129944,False
Ujjain,Molana,Madhya Pradesh,Madhya Pradesh GW,2017,12.85,23.08291972,75.42129944,False
Ujjain,Molana,Madhya Pradesh,Madhya Pradesh GW,2018,15.2,23.08291972,75.42129944,False
Ujjain,Molana,Madhya Pradesh,Madhya Pradesh GW,2019,8.75,23.08291972,75.42129944,False
Ujjain,Molana,Madhya Pradesh,Madhya Pradesh GW,2020,6.3,23.08291972,75.42129944,False
Ujjain,Molana,Madhya Pradesh,Madhya Pradesh GW,2021,8.3,23.08291972,75.42129944,True
Ujjain,Molana,Madhya Pradesh,Madhya Pradesh GW,2022,9.3,23.08291972,75.42129944,True
Ujjain,Nalwa,Madhya Pradesh,Madhya Pradesh GW,2015,9.75,23.15944444,75.65361111,False
Ujjain,Nalwa,Madhya Pradesh,Madhya Pradesh GW,2016,10.6,23.15944444,75.65361111,False
Ujjain,Nalwa,Madhya Pradesh,Madhya Pradesh GW,2017,8.366666666666665,23.15944444,75.65361111,False
Ujjain,Nalwa,Madhya Pradesh,Madhya Pradesh GW,2018,8.6,23.15944444,75.65361111,False
Ujjain,Nalwa,Madhya Pradesh,Madhya Pradesh GW,2019,6.75,23.15944444,75.65361111,False
Ujjain,Nalwa,Madhya Pradesh,Madhya Pradesh GW,2020,5.0,23.15944444,75.65361111,False
Ujjain,Nalwa,Madhya Pradesh,Madhya Pradesh GW,2021,7.0,23.15944444,75.65361111,True
Ujjain,Nalwa,Madhya Pradesh,Madhya Pradesh GW,2022,8.0,23.15944444,75.65361111,True
Ujjain,Rasulabad,Madhya Pradesh,Madhya Pradesh GW,2015,7.3,23.10269472,75.42532472,False
Ujjain,Rasulabad,Madhya Pradesh,Madhya Pradesh GW,2016,9.85,23.10269472,75.42532472,False
Ujjain,Rasulabad,Madhya Pradesh,Madhya Pradesh GW,2017,10.149999999999999,23.10269472,75.42532472,False
Ujjain,Rasulabad,Madhya Pradesh,Madhya Pradesh GW,2018,11.0,23.10269472,75.42532472,False
Ujjain,Rasulabad,Madhya Pradesh,Madhya Pradesh GW,2019,6.6,23.10269472,75.42532472,False
Ujjain,Rasulabad,Madhya Pradesh,Madhya Pradesh GW,2020,6.0,23.10269472,75.42532472,False
